"type","question","A","B","C","D","E","correct"
"Multiple choice","Er","Beryllium","Mercury","Europium","Chlorine","Erbium","E"
"Multiple choice","Mo","Molybdenum","Californium","Bohrium","Antimony","Ununoctium","A"
"Multiple choice","Ce","Copernicium","Cerium","Copper","Chlorine","Cesium","B"
"Multiple choice","Li","Lithium","Lawrencium","Livermorium","Lutetium","Platinum","A"
"Multiple choice","Y","Ytterbium","Praseodymium","Beryllium","Yttrium","Dysprosium","D"
"Multiple choice","Db","Dysprosium","Dubnium","Molybdenum","Rubidium","Darmstadtium","B"
"Multiple choice","Rh","Rhodium","Rhenium","Rutherfordium","Ruthenium","Radium","A"
"Multiple choice","Ga","Germanium","Gallium","Gold","Seaborgium","Gadolinium","B"
"Multiple choice","Pm","Praseodymium","Protactinium","Potassium","Plutonium","Promethium","E"
"Multiple choice","Ba","Barium","Boron","Berkelium","Carbon","Bohrium","A"
"Multiple choice","Pa","Platinum","Potassium","Praseodymium","Palladium","Protactinium","E"
"Multiple choice","K","Darmstadtium","Potassium","Berkelium","Nickel","Krypton","B"
"Multiple choice","B","Berkelium","Bohrium","Bismuth","Barium","Boron","E"
"Multiple choice","Dy","Hydrogen","Dysprosium","Dubnium","Neodymium","Praseodymium","B"
"Multiple choice","Ti","Terbium","Thorium","Tellurium","Thallium","Titanium","E"
"Multiple choice","F","Fluorine","Fermium","Californium","Francium","Flerovium","A"
"Multiple choice","Sm","Samarium","Selenium","Strontium","Sodium","Scandium","A"
"Multiple choice","Fr","Francium","Fermium","Fluorine","Californium","Flerovium","A"
"Multiple choice","Fl","Flerovium","Sulfur","Fermium","Californium","Fluorine","A"
"Multiple choice","Ir","Iridium","Iodine","Germanium","Bohrium","Iron","A"
"Multiple choice","Cs","Cobalt","Cesium","Cadmium","Arsenic","Curium","B"
"Multiple choice","Am","Antimony","Lanthanum","Actinium","Americium","Aluminum","D"
"Multiple choice","Pr","Potassium","Protactinium","Promethium","Praseodymium","Phosphorus","D"
"Multiple choice","Ds","Scandium","Darmstadtium","Praseodymium","Dubnium","Dysprosium","B"
"Multiple choice","Hf","Hafnium","Holmium","Helium","Rutherfordium","Hassium","A"
